Description,Version,Date,Applies to,Link,Notes
Broadcom Ethernet Contoller Drivers,17.2.0.2 Rev.A,11 January 2016,"HP EliteBook 745 G3 Notebook PC, HP EliteBook 755 G3 Notebook PC, HP ZBook 17 G3 Mobile Workstation, HP EliteBook 725 G3 Notebook PC, HP ZBook 15 G3 Mobile Workstation, HP EliteBook Folio G1 Notebook PC",[Download](http://h20564.www2.hp.com/hpsc/swd/public/detail?swItemId=ob_160891_1),Provides support for the Device Guard feature
Broadcom NIC Drivers for Microsoft Win7/8/8.1/10 -64bit,17.2.0.2 Rev.A,1 February 2016,"HP EliteOne 705 G2 23-in Touch All-in-One PC, HP EliteDesk 705 G2 DM Business PC, HP EliteDesk 705 G2 MT Business PC, HP EliteDesk 705 G2 SFF Business PC",[Download](http://h20564.www2.hp.com/hpsc/swd/public/detail?swItemId=vc_164351_1),Adds support for Device Guard feature
